PRI_INDEX,ROUTING_SET,START_TIME,STOP_TIME,HOUR,MINUTE,Req w/ Unp,Req,Sch,Schedule Tally Delta,Net,APS,Dev,Adh,Status,Lock
160,NetClaim Multiskill - Global,4/1/2022,4/2/2022,15,45,17.51,17.51,20,,2.49,,,,Unavailable,0
161,NetClaim Multiskill - Global,4/1/2022,4/2/2022,16,0,17.67,17.67,19,,1.33,,,,Unavailable,0
162,NetClaim Multiskill - Global,4/1/2022,4/2/2022,16,15,18.33,18.33,18.33,,0,,,,Unavailable,0
163,NetClaim Multiskill - Global,4/1/2022,4/2/2022,16,30,15.67,15.67,15.67,,0,,,,Unavailable,0
164,NetClaim Multiskill - Global,4/1/2022,4/2/2022,16,45,14.34,14.34,15.33,,0.99,,,,Unavailable,0
165,NetClaim Multiskill - Global,4/1/2022,4/2/2022,17,0,18.73,18.73,13.33,,-5.4,,,,Unavailable,0
166,NetClaim Multiskill - Global,4/1/2022,4/2/2022,17,15,10.66,10.66,11.33,,0.67,,,,Unavailable,0
167,NetClaim Multiskill - Global,4/1/2022,4/2/2022,17,30,12,12,12,,0,,,,Unavailable,0
168,NetClaim Multiskill - Global,4/1/2022,4/2/2022,17,45,11.67,11.67,11.67,,0,,,,Unavailable,0
169,NetClaim Multiskill - Global,4/1/2022,4/2/2022,18,0,10,10,10,,0,,,,Unavailable,0
170,NetClaim Multiskill - Global,4/1/2022,4/2/2022,18,15,8.33,8.33,8.33,,0,,,,Unavailable,0
171,NetClaim Multiskill - Global,4/1/2022,4/2/2022,18,30,9,9,9,,0,,,,Unavailable,0
172,NetClaim Multiskill - Global,4/1/2022,4/2/2022,18,45,10.87,10.87,7.67,,-3.2,,,,Unavailable,0
173,NetClaim Multiskill - Global,4/1/2022,4/2/2022,19,0,10.07,10.07,9,,-1.07,,,,Unavailable,0
174,NetClaim Multiskill - Global,4/1/2022,4/2/2022,19,15,5.45,5.45,8.67,,3.22,,,,Unavailable,0
175,NetClaim Multiskill - Global,4/1/2022,4/2/2022,19,30,6.65,6.65,7.67,,1.02,,,,Unavailable,0
176,NetClaim Multiskill - Global,4/1/2022,4/2/2022,19,45,7.81,7.81,7.67,,-0.14,,,,Unavailable,0
177,NetClaim Multiskill - Global,4/1/2022,4/2/2022,20,0,6.7,6.7,7,,0.3,,,,Unavailable,0
178,NetClaim Multiskill - Global,4/1/2022,4/2/2022,20,15,6.65,6.65,7,,0.35,,,,Unavailable,0
179,NetClaim Multiskill - Global,4/1/2022,4/2/2022,20,30,5.83,5.83,7,,1.17,,,,Unavailable,0
180,NetClaim Multiskill - Global,4/1/2022,4/2/2022,20,45,4.72,4.72,4,,-0.72,,,,Unavailable,0
181,NetClaim Multiskill - Global,4/1/2022,4/2/2022,21,0,5.72,5.72,4.67,,-1.05,,,,Unavailable,0
182,NetClaim Multiskill - Global,4/1/2022,4/2/2022,21,15,3,3,3,,0,,,,Unavailable,0
183,NetClaim Multiskill - Global,4/1/2022,4/2/2022,21,30,4,4,4,,0,,,,Unavailable,0
184,NetClaim Multiskill - Global,4/1/2022,4/2/2022,21,45,4.72,4.72,4,,-0.72,,,,Unavailable,0
185,NetClaim Multiskill - Global,4/1/2022,4/2/2022,22,0,4.05,4.05,4,,-0.05,,,,Unavailable,0
186,NetClaim Multiskill - Global,4/1/2022,4/2/2022,22,15,3.82,3.82,4,,0.18,,,,Unavailable,0
187,NetClaim Multiskill - Global,4/1/2022,4/2/2022,22,30,2.3,2.3,3,,0.7,,,,Unavailable,0
188,NetClaim Multiskill - Global,4/1/2022,4/2/2022,22,45,2.73,2.73,4,,1.27,,,,Unavailable,0
189,NetClaim Multiskill - Global,4/1/2022,4/2/2022,23,0,2.73,2.73,4,,1.27,,,,Unavailable,0
190,NetClaim Multiskill - Global,4/1/2022,4/2/2022,23,15,2.73,2.73,3,,0.27,,,,Unavailable,0
191,NetClaim Multiskill - Global,4/1/2022,4/2/2022,23,30,2.67,2.67,2.67,,0,,,,Unavailable,0
