,dIntervalStart,nEnteredAcd,Start
374,3/12/2022 8:00,1,2022-03-12 08:00:00
375,3/12/2022 8:15,1,2022-03-12 08:15:00
376,3/12/2022 8:30,1,2022-03-12 08:30:00
377,3/12/2022 8:45,1,2022-03-12 08:45:00
378,3/12/2022 9:00,1,2022-03-12 09:00:00
379,3/12/2022 9:15,1,2022-03-12 09:15:00
380,3/12/2022 9:30,1,2022-03-12 09:30:00
381,3/12/2022 9:45,1,2022-03-12 09:45:00
382,3/13/2022 0:00,1,2022-03-13 00:00:00
383,3/13/2022 0:15,1,2022-03-13 00:15:00
384,3/13/2022 0:30,1,2022-03-13 00:30:00
385,3/13/2022 0:45,1,2022-03-13 00:45:00
386,3/13/2022 10:00,1,2022-03-13 10:00:00
387,3/13/2022 10:15,1,2022-03-13 10:15:00
388,3/13/2022 10:30,1,2022-03-13 10:30:00
389,3/13/2022 10:45,1,2022-03-13 10:45:00
390,3/13/2022 11:00,1,2022-03-13 11:00:00
391,3/13/2022 11:15,1,2022-03-13 11:15:00
392,3/13/2022 11:30,1,2022-03-13 11:30:00
393,3/13/2022 11:45,1,2022-03-13 11:45:00
394,3/13/2022 12:00,1,2022-03-13 12:00:00
395,3/13/2022 12:15,1,2022-03-13 12:15:00
396,3/13/2022 12:30,1,2022-03-13 12:30:00
397,3/13/2022 12:45,1,2022-03-13 12:45:00
398,3/13/2022 13:00,1,2022-03-13 13:00:00
399,3/13/2022 13:15,1,2022-03-13 13:15:00
400,3/13/2022 13:30,1,2022-03-13 13:30:00
401,3/13/2022 13:45,1,2022-03-13 13:45:00
402,3/13/2022 14:00,1,2022-03-13 14:00:00
403,3/13/2022 14:15,1,2022-03-13 14:15:00
404,3/13/2022 14:30,1,2022-03-13 14:30:00
405,3/13/2022 14:45,1,2022-03-13 14:45:00
406,3/13/2022 15:00,1,2022-03-13 15:00:00
407,3/13/2022 15:15,1,2022-03-13 15:15:00
408,3/13/2022 15:30,1,2022-03-13 15:30:00
409,3/13/2022 15:45,1,2022-03-13 15:45:00
410,3/13/2022 16:00,1,2022-03-13 16:00:00
411,3/13/2022 16:15,1,2022-03-13 16:15:00
412,3/13/2022 16:30,1,2022-03-13 16:30:00
413,3/13/2022 16:45,1,2022-03-13 16:45:00
414,3/13/2022 17:00,1,2022-03-13 17:00:00
415,3/13/2022 17:15,1,2022-03-13 17:15:00
416,3/13/2022 17:30,1,2022-03-13 17:30:00
417,3/13/2022 17:45,1,2022-03-13 17:45:00
418,3/13/2022 18:00,1,2022-03-13 18:00:00
419,3/13/2022 18:15,1,2022-03-13 18:15:00
420,3/13/2022 18:30,1,2022-03-13 18:30:00
421,3/13/2022 18:45,1,2022-03-13 18:45:00
422,3/13/2022 19:00,1,2022-03-13 19:00:00
423,3/13/2022 19:15,1,2022-03-13 19:15:00
