MDate,nEnteredAcd,Start,Req,Sch,Net,Period,PeriodM
3/2/2022 16:45,21,3/2/2022 16:45,15.33,15.33,0,3/2/2022 16:45,16:45:00
3/2/2022 17:00,19,3/2/2022 17:00,16.33,16.33,0,3/2/2022 17:00,17:00:00
3/2/2022 17:15,19,3/2/2022 17:15,11.67,11.67,0,3/2/2022 17:15,17:15:00
3/2/2022 17:30,19,3/2/2022 17:30,12.95,13,0.05,3/2/2022 17:30,17:30:00
3/2/2022 17:45,18,3/2/2022 17:45,13.33,13.33,0,3/2/2022 17:45,17:45:00
3/2/2022 18:00,14,3/2/2022 18:00,9.3,9,-0.3,3/2/2022 18:00,18:00:00
3/2/2022 18:15,11,3/2/2022 18:15,9.67,9.67,0,3/2/2022 18:15,18:15:00
3/2/2022 18:30,16,3/2/2022 18:30,12.28,9,-3.28,3/2/2022 18:30,18:30:00
3/2/2022 18:45,14,3/2/2022 18:45,11.18,9.53,-1.65,3/2/2022 18:45,18:45:00
3/2/2022 19:00,10,3/2/2022 19:00,11.18,8.93,-2.25,3/2/2022 19:00,19:00:00
3/2/2022 19:15,11,3/2/2022 19:15,10.07,9.33,-0.74,3/2/2022 19:15,19:15:00
3/2/2022 19:30,11,3/2/2022 19:30,7.67,7.67,0,3/2/2022 19:30,19:30:00
3/2/2022 19:45,8,3/2/2022 19:45,8.95,7,-1.95,3/2/2022 19:45,19:45:00
3/2/2022 20:00,13,3/2/2022 20:00,5.72,6,0.28,3/2/2022 20:00,20:00:00
3/2/2022 20:15,9,3/2/2022 20:15,4.48,6,1.52,3/2/2022 20:15,20:15:00
3/2/2022 20:30,8,3/2/2022 20:30,6.7,7,0.3,3/2/2022 20:30,20:30:00
3/2/2022 20:45,10,3/2/2022 20:45,5.72,6,0.28,3/2/2022 20:45,20:45:00
3/2/2022 21:00,8,3/2/2022 21:00,2.33,2.33,0,3/2/2022 21:00,21:00:00
3/2/2022 21:15,7,3/2/2022 21:15,2.45,2,-0.45,3/2/2022 21:15,21:15:00
3/2/2022 21:30,6,3/2/2022 21:30,2,2,0,3/2/2022 21:30,21:30:00
3/2/2022 21:45,4,3/2/2022 21:45,1,1,0,3/2/2022 21:45,21:45:00
3/2/2022 22:00,9,3/2/2022 22:00,5.25,2,-3.25,3/2/2022 22:00,22:00:00
3/2/2022 22:15,7,3/2/2022 22:15,2,2,0,3/2/2022 22:15,22:15:00
3/2/2022 22:30,7,3/2/2022 22:30,2,2,0,3/2/2022 22:30,22:30:00
3/2/2022 22:45,7,3/2/2022 22:45,4.05,2,-2.05,3/2/2022 22:45,22:45:00
3/2/2022 23:00,7,3/2/2022 23:00,2,2,0,3/2/2022 23:00,23:00:00
3/2/2022 23:15,6,3/2/2022 23:15,2.36,1.67,-0.69,3/2/2022 23:15,23:15:00
3/2/2022 23:30,4,3/2/2022 23:30,0.67,0.67,0,3/2/2022 23:30,23:30:00
3/2/2022 23:45,6,3/2/2022 23:45,0,0,0,3/2/2022 23:45,23:45:00
3/3/2022 0:00,4,3/3/2022 0:00,2.08,2,-0.08,3/3/2022 0:00,0:00:00
3/3/2022 0:15,6,3/3/2022 0:15,4.02,2,-2.02,3/3/2022 0:15,0:15:00
3/3/2022 0:30,7,3/3/2022 0:30,2.71,2,-0.71,3/3/2022 0:30,0:30:00
3/3/2022 0:45,3,3/3/2022 0:45,1.54,2,0.46,3/3/2022 0:45,0:45:00
3/3/2022 1:00,3,3/3/2022 1:00,2,2,0,3/3/2022 1:00,1:00:00
3/3/2022 1:15,3,3/3/2022 1:15,2,2,0,3/3/2022 1:15,1:15:00
3/3/2022 1:30,3,3/3/2022 1:30,2.71,2,-0.71,3/3/2022 1:30,1:30:00
3/3/2022 1:45,2,3/3/2022 1:45,1,1,0,3/3/2022 1:45,1:45:00
3/3/2022 2:00,7,3/3/2022 2:00,1.46,1,-0.46,3/3/2022 2:00,2:00:00
3/3/2022 2:15,1,3/3/2022 2:15,2.71,2,-0.71,3/3/2022 2:15,2:15:00
3/3/2022 2:30,4,3/3/2022 2:30,2,2,0,3/3/2022 2:30,2:30:00
3/3/2022 2:45,2,3/3/2022 2:45,0.9,2,1.1,3/3/2022 2:45,2:45:00
3/3/2022 3:00,1,3/3/2022 3:00,2.71,3,0.29,3/3/2022 3:00,3:00:00
3/3/2022 3:15,5,3/3/2022 3:15,1.36,3,1.64,3/3/2022 3:15,3:15:00
3/3/2022 3:30,2,3/3/2022 3:30,1.85,3,1.15,3/3/2022 3:30,3:30:00
3/3/2022 3:45,4,3/3/2022 3:45,2.71,3,0.29,3/3/2022 3:45,3:45:00
3/3/2022 4:00,4,3/3/2022 4:00,2.71,3,0.29,3/3/2022 4:00,4:00:00
3/3/2022 4:15,6,3/3/2022 4:15,2.71,2,-0.71,3/3/2022 4:15,4:15:00
3/3/2022 4:30,1,3/3/2022 4:30,2.23,2,-0.23,3/3/2022 4:30,4:30:00
3/3/2022 4:45,3,3/3/2022 4:45,0.74,2,1.26,3/3/2022 4:45,4:45:00
3/3/2022 5:00,,,0,0,0,3/3/2022 5:00,5:00:00
3/3/2022 5:15,3,3/3/2022 5:15,0,0.6,0.6,3/3/2022 5:15,5:15:00
3/3/2022 5:30,2,3/3/2022 5:30,0,0.53,0.53,3/3/2022 5:30,5:30:00
3/3/2022 5:45,3,3/3/2022 5:45,1.29,5,3.71,3/3/2022 5:45,5:45:00
3/3/2022 6:00,3,3/3/2022 6:00,2.23,5.53,3.3,3/3/2022 6:00,6:00:00
3/3/2022 6:15,3,3/3/2022 6:15,2.23,6,3.77,3/3/2022 6:15,6:15:00
3/3/2022 6:30,1,3/3/2022 6:30,1.65,6,4.35,3/3/2022 6:30,6:30:00
3/3/2022 6:45,3,3/3/2022 6:45,3.22,4,0.78,3/3/2022 6:45,6:45:00
3/3/2022 7:00,5,3/3/2022 7:00,4.12,6,1.88,3/3/2022 7:00,7:00:00
3/3/2022 7:15,5,3/3/2022 7:15,4.12,6,1.88,3/3/2022 7:15,7:15:00
3/3/2022 7:30,8,3/3/2022 7:30,4.23,7,2.77,3/3/2022 7:30,7:30:00
3/3/2022 7:45,9,3/3/2022 7:45,5.45,6,0.55,3/3/2022 7:45,7:45:00
3/3/2022 8:00,13,3/3/2022 8:00,6.37,9,2.63,3/3/2022 8:00,8:00:00
3/3/2022 8:15,12,3/3/2022 8:15,8.63,10,1.37,3/3/2022 8:15,8:15:00
3/3/2022 8:30,12,3/3/2022 8:30,13,13,0,3/3/2022 8:30,8:30:00
3/3/2022 8:45,10,3/3/2022 8:45,9.8,15,5.2,3/3/2022 8:45,8:45:00
3/3/2022 9:00,13,3/3/2022 9:00,12.31,15.4,3.09,3/3/2022 9:00,9:00:00
3/3/2022 9:15,13,3/3/2022 9:15,14.11,17.07,2.96,3/3/2022 9:15,9:15:00
3/3/2022 9:30,13,3/3/2022 9:30,13.42,14,0.58,3/3/2022 9:30,9:30:00
3/3/2022 9:45,16,3/3/2022 9:45,15.89,14.33,-1.56,3/3/2022 9:45,9:45:00
3/3/2022 10:00,15,3/3/2022 10:00,16.56,17.27,0.71,3/3/2022 10:00,10:00:00
3/3/2022 10:15,17,3/3/2022 10:15,19.1,20.07,0.97,3/3/2022 10:15,10:15:00
3/3/2022 10:30,14,3/3/2022 10:30,18.4,19.4,1,3/3/2022 10:30,10:30:00
3/3/2022 10:45,11,3/3/2022 10:45,16.67,16.67,0,3/3/2022 10:45,10:45:00
3/3/2022 11:00,14,3/3/2022 11:00,21.02,22,0.98,3/3/2022 11:00,11:00:00
3/3/2022 11:15,15,3/3/2022 11:15,21.02,21.4,0.38,3/3/2022 11:15,11:15:00
3/3/2022 11:30,16,3/3/2022 11:30,18.84,20.6,1.76,3/3/2022 11:30,11:30:00
3/3/2022 11:45,16,3/3/2022 11:45,18.4,18.4,0,3/3/2022 11:45,11:45:00
3/3/2022 12:00,19,3/3/2022 12:00,20,20,0,3/3/2022 12:00,12:00:00
3/3/2022 12:15,14,3/3/2022 12:15,21.97,22,0.03,3/3/2022 12:15,12:15:00
3/3/2022 12:30,15,3/3/2022 12:30,21.02,20,-1.02,3/3/2022 12:30,12:30:00
3/3/2022 12:45,11,3/3/2022 12:45,16.93,16.93,0,3/3/2022 12:45,12:45:00
3/3/2022 13:00,14,3/3/2022 13:00,16.26,20.87,4.61,3/3/2022 13:00,13:00:00
3/3/2022 13:15,13,3/3/2022 13:15,22.93,26.8,3.87,3/3/2022 13:15,13:15:00
3/3/2022 13:30,13,3/3/2022 13:30,23.88,24,0.12,3/3/2022 13:30,13:30:00
3/3/2022 13:45,10,3/3/2022 13:45,25.64,25.67,0.03,3/3/2022 13:45,13:45:00
3/3/2022 14:00,18,3/3/2022 14:00,21.13,24,2.87,3/3/2022 14:00,14:00:00
3/3/2022 14:15,17,3/3/2022 14:15,20,20,0,3/3/2022 14:15,14:15:00
3/3/2022 14:30,12,3/3/2022 14:30,17,17,0,3/3/2022 14:30,14:30:00
3/3/2022 14:45,13,3/3/2022 14:45,21,21,0,3/3/2022 14:45,14:45:00
3/3/2022 15:00,17,3/3/2022 15:00,23.88,24,0.12,3/3/2022 15:00,15:00:00
3/3/2022 15:15,18,3/3/2022 15:15,22.93,23.33,0.4,3/3/2022 15:15,15:15:00
3/3/2022 15:30,16,3/3/2022 15:30,17,17,0,3/3/2022 15:30,15:30:00
3/3/2022 15:45,18,3/3/2022 15:45,16.93,16.93,0,3/3/2022 15:45,15:45:00
3/3/2022 16:00,16,3/3/2022 16:00,19,19,0,3/3/2022 16:00,16:00:00
3/3/2022 16:15,16,3/3/2022 16:15,19.33,19.33,0,3/3/2022 16:15,16:15:00
3/3/2022 16:30,14,3/3/2022 16:30,19.67,19.67,0,3/3/2022 16:30,16:30:00
3/3/2022 16:45,14,3/3/2022 16:45,17.2,17.2,0,3/3/2022 16:45,16:45:00
3/3/2022 17:00,13,3/3/2022 17:00,12.67,12.67,0,3/3/2022 17:00,17:00:00
3/3/2022 17:15,12,3/3/2022 17:15,13,13,0,3/3/2022 17:15,17:15:00
3/3/2022 17:30,15,3/3/2022 17:30,11.33,11.33,0,3/3/2022 17:30,17:30:00
3/3/2022 17:45,16,3/3/2022 17:45,11,11,0,3/3/2022 17:45,17:45:00
3/3/2022 18:00,15,3/3/2022 18:00,13,13,0,3/3/2022 18:00,18:00:00
3/3/2022 18:15,18,3/3/2022 18:15,9,9,0,3/3/2022 18:15,18:15:00
