Date,StatusKey,Code,StatusKey
2022-10-12,personal break,ATL Ops Sup 7,7
2022-10-12,scheduled break,ATL Ops Sup 5,35
2022-10-12,scheduled break,ATL Ops Sup 6,27
2022-10-12,scheduled break,ATL Ops Sup 7,32
2022-10-12,special assignment,ATL Ops Sup 5,10
2022-10-12,special assignment,ATL Ops Sup 6,3
2022-10-12,tc issues,ATL Ops Sup 5,43
2022-10-12,tc issues,ATL Ops Sup 6,1
2022-10-12,tc issues,ATL Ops Sup 7,21
2022-10-13,acw,ATL Ops Sup 5,199
2022-10-13,acw,ATL Ops Sup 6,228
2022-10-13,acw,ATL Ops Sup 7,261
2022-10-13,at a training session,ATL Ops Sup 5,7
2022-10-13,at a training session,ATL Ops Sup 7,6
2022-10-13,at lunch,ATL Ops Sup 5,21
2022-10-13,at lunch,ATL Ops Sup 6,13
2022-10-13,at lunch,ATL Ops Sup 7,16
2022-10-13,coaching,ATL Ops Sup 7,2
2022-10-13,escalation wait,ATL Ops Sup 5,16
2022-10-13,escalation wait,ATL Ops Sup 6,12
2022-10-13,escalation wait,ATL Ops Sup 7,4
2022-10-13,follow up,ATL Ops Sup 5,179
2022-10-13,follow up,ATL Ops Sup 6,151
2022-10-13,follow up,ATL Ops Sup 7,164
2022-10-13,in a meeting,ATL Ops Sup 5,2
2022-10-13,in a meeting,ATL Ops Sup 6,2
2022-10-13,in a meeting,ATL Ops Sup 7,4
2022-10-13,on call,ATL Ops Sup 5,246
2022-10-13,on call,ATL Ops Sup 6,227
2022-10-13,on call,ATL Ops Sup 7,256
2022-10-13,personal break,ATL Ops Sup 5,10
2022-10-13,personal break,ATL Ops Sup 6,5
2022-10-13,personal break,ATL Ops Sup 7,14
2022-10-13,scheduled break,ATL Ops Sup 5,36
2022-10-13,scheduled break,ATL Ops Sup 6,28
2022-10-13,scheduled break,ATL Ops Sup 7,36
2022-10-13,special assignment,ATL Ops Sup 5,6
2022-10-13,special assignment,ATL Ops Sup 6,3
2022-10-13,tc issues,ATL Ops Sup 5,18
2022-10-13,tc issues,ATL Ops Sup 6,4
2022-10-13,tc issues,ATL Ops Sup 7,5
2022-10-14,acw,ATL Ops Sup 5,172
2022-10-14,acw,ATL Ops Sup 6,199
2022-10-14,acw,ATL Ops Sup 7,287
2022-10-14,at a training session,ATL Ops Sup 7,1
2022-10-14,at lunch,ATL Ops Sup 5,16
2022-10-14,at lunch,ATL Ops Sup 6,8
2022-10-14,at lunch,ATL Ops Sup 7,17
2022-10-14,escalation wait,ATL Ops Sup 5,21
2022-10-14,escalation wait,ATL Ops Sup 6,8
2022-10-14,escalation wait,ATL Ops Sup 7,14
2022-10-14,follow up,ATL Ops Sup 5,180
2022-10-14,follow up,ATL Ops Sup 6,147
2022-10-14,follow up,ATL Ops Sup 7,213
2022-10-14,in a meeting,ATL Ops Sup 7,1
2022-10-14,on call,ATL Ops Sup 5,234
2022-10-14,on call,ATL Ops Sup 6,199
2022-10-14,on call,ATL Ops Sup 7,293
2022-10-14,personal break,ATL Ops Sup 5,6
2022-10-14,personal break,ATL Ops Sup 6,5
2022-10-14,personal break,ATL Ops Sup 7,14
2022-10-14,scheduled break,ATL Ops Sup 5,28
2022-10-14,scheduled break,ATL Ops Sup 6,23
2022-10-14,scheduled break,ATL Ops Sup 7,36
2022-10-14,special assignment,ATL Ops Sup 5,7
2022-10-14,special assignment,ATL Ops Sup 6,1
