UserId,Date,StatusKey,Code,Min
AVANYUSH,2022-12-03,scheduled break,Team 1,31.0833333333333
AVANYUSH,2022-12-04,acw,Team 1,1.56666666666667
AVANYUSH,2022-12-04,at lunch,Team 1,62.5666666666667
AVANYUSH,2022-12-04,escalation wait,Team 1,5.06666666666667
AVANYUSH,2022-12-04,follow up,Team 1,0.0333333333333333
AVANYUSH,2022-12-04,on call,Team 1,11.6333333333333
AVANYUSH,2022-12-04,scheduled break,Team 1,15.9
AVANYUSH,2022-12-04,tc issues,Team 1,4.48333333333333
AVANYUSH,2022-12-07,acw,Team 1,3.51666666666667
AVANYUSH,2022-12-07,follow up,Team 1,0.116666666666667
AVANYUSH,2022-12-07,on call,Team 1,42.0666666666667
AVANYUSH,2022-12-07,scheduled break,Team 1,15.5666666666667
AVANYUSH,2022-12-08,at lunch,Team 1,24.8666666666667
AVANYUSH,2022-12-08,scheduled break,Team 1,8.43333333333333
AVANYUSH,2022-12-09,acw,Team 1,3.16666666666667
AVANYUSH,2022-12-09,at lunch,Team 1,66.7666666666667
AVANYUSH,2022-12-09,escalation wait,Team 1,13.85
AVANYUSH,2022-12-09,follow up,Team 1,0.3
AVANYUSH,2022-12-09,on call,Team 1,23.6666666666667
AVANYUSH,2022-12-09,scheduled break,Team 1,44.7
AVANYUSH,2022-12-10,acw,Team 1,3.55
AVANYUSH,2022-12-10,at lunch,Team 1,60.1
AVANYUSH,2022-12-10,escalation wait,Team 1,1.53333333333333
AVANYUSH,2022-12-10,follow up,Team 1,0.5
AVANYUSH,2022-12-10,on call,Team 1,19.2666666666667
AVANYUSH,2022-12-10,scheduled break,Team 1,33.5833333333333
AVANYUSH,2022-12-11,acw,Team 1,0.55
AVANYUSH,2022-12-11,at lunch,Team 1,62.8833333333333
AVANYUSH,2022-12-11,escalation wait,Team 1,3.61666666666667
AVANYUSH,2022-12-11,follow up,Team 1,0.0333333333333333
AVANYUSH,2022-12-11,on call,Team 1,1.08333333333333
AVANYUSH,2022-12-11,scheduled break,Team 1,16.1
AVANYUSH,2022-12-14,escalation wait,Team 1,13.8333333333333
AVANYUSH,2022-12-14,follow up,Team 1,0.3
AVANYUSH,2022-12-14,on call,Team 1,16.9666666666667
AVANYUSH,2022-12-14,personal break,Team 1,4
AVANYUSH,2022-12-14,scheduled break,Team 1,16.6833333333333
AVANYUSH,2022-12-15,acw,Team 1,7.76666666666667
AVANYUSH,2022-12-15,at lunch,Team 1,62.15
AVANYUSH,2022-12-15,follow up,Team 1,0.216666666666667
AVANYUSH,2022-12-15,on call,Team 1,56.5333333333333
AVANYUSH,2022-12-15,scheduled break,Team 1,31.1333333333333
AVANYUSH,2022-12-16,acw,Team 1,2.26666666666667
AVANYUSH,2022-12-16,at lunch,Team 1,61.1666666666667
AVANYUSH,2022-12-16,escalation wait,Team 1,2.36666666666667
AVANYUSH,2022-12-16,follow up,Team 1,0.55
AVANYUSH,2022-12-16,on call,Team 1,29.0833333333333
AVANYUSH,2022-12-16,scheduled break,Team 1,34.0166666666667
AVANYUSH,2022-12-17,acw,Team 1,3.13333333333333
AVANYUSH,2022-12-17,at lunch,Team 1,60.9166666666667
AVANYUSH,2022-12-17,escalation wait,Team 1,10.4
AVANYUSH,2022-12-17,follow up,Team 1,0.233333333333333
AVANYUSH,2022-12-17,on call,Team 1,38.0333333333333
AVANYUSH,2022-12-17,scheduled break,Team 1,39.9833333333333
AVANYUSH,2022-12-18,acw,Team 1,1.08333333333333
AVANYUSH,2022-12-18,at lunch,Team 1,62.5166666666667
AVANYUSH,2022-12-18,follow up,Team 1,0.0333333333333333
AVANYUSH,2022-12-18,on call,Team 1,10.15
AVANYUSH,2022-12-18,scheduled break,Team 1,34.3333333333333
DHANCHETT,2022-10-04,acw,Team 2,36.9
DHANCHETT,2022-10-04,at lunch,Team 2,30.6833333333333
DHANCHETT,2022-10-04,escalation wait,Team 2,0.116666666666667
DHANCHETT,2022-10-04,follow up,Team 2,0.583333333333333
DHANCHETT,2022-10-04,on call,Team 2,262.816666666667
DHANCHETT,2022-10-04,scheduled break,Team 2,30.2
DHANCHETT,2022-10-05,acw,Team 2,28.4666666666667
DHANCHETT,2022-10-05,at lunch,Team 2,31.95
DHANCHETT,2022-10-05,escalation wait,Team 2,0.0166666666666667
DHANCHETT,2022-10-05,follow up,Team 2,0.55
DHANCHETT,2022-10-05,on call,Team 2,281.216666666667
DHANCHETT,2022-10-05,scheduled break,Team 2,31.8
DHANCHETT,2022-10-06,acw,Team 2,27.3
DHANCHETT,2022-10-06,at lunch,Team 2,31.9166666666667
DHANCHETT,2022-10-06,escalation wait,Team 2,0.0833333333333333
DHANCHETT,2022-10-06,follow up,Team 2,0.316666666666667
DHANCHETT,2022-10-06,on call,Team 2,241.883333333333
DHANCHETT,2022-10-06,scheduled break,Team 2,29.5833333333333
DHANCHETT,2022-10-07,acw,Team 2,33.6
DHANCHETT,2022-10-07,at lunch,Team 2,29.9666666666667
DHANCHETT,2022-10-07,escalation wait,Team 2,14.2166666666667
DHANCHETT,2022-10-07,follow up,Team 2,0.633333333333333
DHANCHETT,2022-10-07,on call,Team 2,321.4
DHANCHETT,2022-10-07,scheduled break,Team 2,31.5666666666667
